datetime,temp,humidity,precip,windspeed,winddir,visibility,solarradiation,cloudcover,Date,Site ID,POC,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,pm25-1,
10/19/2013,13.1,71.6,1.365,17.6,179.1,15.2,122.2,60.7,10/19/2013,421010048,3,13.6,54,11.2,
10/20/2013,12.6,55.4,0.06,24.6,289.5,16,189.1,12.2,10/20/2013,421010048,3,7.2,30,13.6,
10/21/2013,12.5,61.6,0.06,17.6,195.7,15.6,183.7,15.2,10/21/2013,421010048,3,11,46,7.2,
10/22/2013,13.5,65.9,0.015,20.1,257,15.9,172.4,52.2,10/22/2013,421010048,3,8.4,35,11,
10/22/2013,13.5,65.9,0.015,20.1,257,15.9,172.4,52.2,10/22/2013,421010048,5,7.4,31,8.4,
10/23/2013,10.2,54.3,0.313,20,342.6,16,95.4,81.1,10/23/2013,421010048,3,8.7,36,7.4,
10/24/2013,7.9,54.2,0.06,32.7,276.1,16,150.4,39.1,10/24/2013,421010048,3,7.9,33,8.7,
10/25/2013,7.4,55.7,0.061,25.2,279.8,16,143.2,22,10/25/2013,421010048,3,7.2,30,7.9,
10/25/2013,7.4,55.7,0.061,25.2,279.8,16,143.2,22,10/25/2013,421010048,5,7.8,33,7.2,
10/26/2013,8.2,54.2,0,29.8,225.7,15.9,178.4,24.6,10/26/2013,421010048,3,6.9,29,7.8,
10/27/2013,10.4,46.6,0,23.8,274.4,16,165.6,36.1,10/27/2013,421010048,3,4.2,18,6.9,
10/28/2013,9.5,59.2,0.064,11.9,260.2,16,160.3,32.2,10/28/2013,421010048,3,10.7,45,4.2,
10/28/2013,9.5,59.2,0.064,11.9,260.2,16,160.3,32.2,10/28/2013,421010048,5,11,46,10.7,
10/29/2013,10.3,61.5,0,14,48.9,16,162.6,34.2,10/29/2013,421010048,3,4.8,20,11,
10/30/2013,10.9,83.3,0.526,7.7,125.1,14.4,51.6,86.4,10/30/2013,421010048,3,13.2,53,4.8,
10/31/2013,16,80.2,0.472,20.1,184.7,10.9,115.4,84.6,10/31/2013,421010048,3,13.3,54,13.2,
10/31/2013,16,80.2,0.472,20.1,184.7,10.9,115.4,84.6,10/31/2013,421010048,5,14.2,55,13.3,
11/1/2013,18.5,77.9,21.123,36.6,208.5,15,88.9,72.5,11/1/2013,421010048,3,0.7,3,14.2,
11/2/2013,15.3,61.9,0,19.9,294.6,14.9,146.8,73.4,11/2/2013,421010048,3,5.9,25,0.7,
11/3/2013,8.9,51.7,0.015,28.7,340.3,16,94.5,38.4,11/3/2013,421010048,3,2.5,10,5.9,
11/3/2013,8.9,51.7,0.015,28.7,340.3,16,94.5,38.4,11/3/2013,421010048,5,3.3,14,2.5,
11/4/2013,4.1,46.5,0.06,21.8,35.2,16,142.9,34.8,11/4/2013,421010048,3,4.5,19,3.3,
11/5/2013,8.9,62.7,0,11.2,80.1,16,101,73.7,11/5/2013,421010048,3,7.7,32,4.5,
11/6/2013,12.6,71.5,0,18.3,189.6,16,110.6,66.4,11/6/2013,421010048,3,3.2,13,7.7,
11/6/2013,12.6,71.5,0,18.3,189.6,16,110.6,66.4,11/6/2013,421010048,5,4.1,17,3.2,
11/7/2013,13.6,78,1.073,27.7,263.8,15.8,58.6,88.1,11/7/2013,421010048,3,1.3,5,4.1,
11/8/2013,6.9,48.8,0.015,29.2,283.6,16,121.1,54.8,11/8/2013,421010048,3,5.9,25,1.3,
11/9/2013,6.6,53.1,0,18,234.9,16,113.2,37.5,11/9/2013,421010048,3,7.5,31,5.9,
11/9/2013,6.6,53.1,0,18,234.9,16,113.2,37.5,11/9/2013,421010048,5,6.1,25,7.5,
11/10/2013,10.1,48.6,0,31.6,263.4,16,144.4,48,11/10/2013,421010048,3,5.9,25,6.1,
11/11/2013,9.4,45.8,0,24.7,245.4,16,142.8,60.2,11/11/2013,421010048,3,2.7,11,5.9,
11/12/2013,4.5,49.9,0.129,28.8,333.8,15.6,41.5,76,11/12/2013,421010048,3,3.8,16,2.7,
11/12/2013,4.5,49.9,0.129,28.8,333.8,15.6,41.5,76,11/12/2013,421010048,5,4.8,20,3.8,
11/13/2013,1.2,43.3,0.06,25.5,310.9,16,146.9,8.9,11/13/2013,421010048,3,5.8,24,4.8,
11/14/2013,6.3,37.9,0,27,237.7,16,143.5,26.9,11/14/2013,421010048,3,7.6,32,5.8,
11/15/2013,6.8,58.5,0,12,226.2,15.9,75.3,50.9,11/15/2013,421010048,3,23,74,7.6,
11/15/2013,6.8,58.5,0,12,226.2,15.9,75.3,50.9,11/15/2013,421010048,5,24.3,77,23,
11/16/2013,9.8,76.4,0.155,10.4,156.4,14.1,101.8,89.6,11/16/2013,421010048,3,20.1,68,24.3,
11/17/2013,15,76.9,0,17.4,161.6,13.9,78,88.8,11/17/2013,421010048,3,9.7,40,20.1,
11/18/2013,16.5,47,4.159,32.4,256.1,15.3,135.3,41.1,11/18/2013,421010048,3,0.6,3,9.7,
11/18/2013,16.5,47,4.159,32.4,256.1,15.3,135.3,41.1,11/18/2013,421010048,5,4.9,20,0.6,
11/19/2013,7.3,40.6,0,37.8,320,16,135.1,38.2,11/19/2013,421010048,3,2.7,11,4.9,
11/20/2013,3,44.6,0,13.8,41.6,16,115.6,37.8,11/20/2013,421010048,3,4.8,20,2.7,
11/21/2013,6.6,56.4,0,13.2,75.3,16,99.1,68,11/21/2013,421010048,3,10.4,43,4.8,
11/21/2013,6.6,56.4,0,13.2,75.3,16,99.1,68,11/21/2013,421010048,5,6.2,26,10.4,
11/22/2013,11.4,78.1,0.703,16.6,227.4,15.3,61.7,92.6,11/22/2013,421010048,3,9,38,6.2,
11/23/2013,6.8,48.7,0.101,32.5,305.8,15.9,123.6,47.9,11/23/2013,421010048,3,5.3,22,9,
11/24/2013,-2.3,29.1,0,41.9,311.3,16,123.4,19.5,11/24/2013,421010048,3,3.2,13,5.3,
11/25/2013,-1.8,46.7,0,17.5,238.1,16,123.5,36.5,11/25/2013,421010048,3,9.4,39,3.2,
11/26/2013,3.2,66.7,13.175,20.9,119.5,12.5,17,94.9,11/26/2013,421010048,3,10.2,43,9.4,
11/27/2013,7.5,80.1,40.662,36.6,289.6,11.1,29.6,96.9,11/27/2013,421010048,5,2.7,11,10.2,
11/28/2013,0.5,48,0,31.9,294,16,120,40.7,11/28/2013,421010048,3,3.8,16,2.7,
11/29/2013,0.9,52.8,0,19.8,340.3,16,120.9,32.3,11/29/2013,421010048,3,17.5,62,3.8,
11/30/2013,0.9,56.5,0,15.4,51.4,16,88.7,52.3,11/30/2013,421010048,3,10.2,43,17.5,
11/30/2013,0.9,56.5,0,15.4,51.4,16,88.7,52.3,11/30/2013,421010048,5,6.4,27,10.2,
12/1/2013,4.9,60.8,0,11.4,262.8,16,99.4,69.6,12/1/2013,421010048,3,19.5,67,6.4,
12/2/2013,6,62.2,0,5.1,39.5,14.1,107.6,87.6,12/2/2013,421010048,3,35.3,100,19.5,
12/3/2013,7.3,67.2,0,9.9,263.3,11.9,103.2,58.4,12/3/2013,421010048,3,34.5,98,35.3,
12/3/2013,7.3,67.2,0,9.9,263.3,11.9,103.2,58.4,12/3/2013,421010048,5,31.4,92,34.5,
12/4/2013,7.8,72.3,0,7.6,66.5,10.3,77.4,80.9,12/4/2013,421010048,3,40.8,114,31.4,
12/5/2013,12.4,89.5,0.075,15.4,186.9,5.4,61.7,100,12/5/2013,421010048,3,20.8,69,40.8,
12/6/2013,10.3,87.3,16.516,27.8,349.1,9.3,45.9,100,12/6/2013,421010048,3,6.6,28,20.8,
12/6/2013,10.3,87.3,16.516,27.8,349.1,9.3,45.9,100,12/6/2013,421010048,5,11.2,47,6.6,
12/7/2013,2.8,71.9,3.768,23.6,338.1,15.3,87.3,75.1,12/7/2013,421010048,3,8.2,34,11.2,
12/8/2013,-1.4,73.5,11.374,19.2,28,10.1,33.7,78.9,12/8/2013,421010048,3,11.9,50,8.2,
12/9/2013,1.9,89.5,21.061,22.4,345.7,6.4,44.7,98.8,12/9/2013,421010048,3,15.1,57,11.9,
12/10/2013,0.6,81.6,6.754,20.8,273.2,9.3,51.6,58.3,12/10/2013,421010048,3,18.5,64,15.1,
12/11/2013,-2.1,61.3,0,28.1,258.3,15.6,117.8,17.3,12/11/2013,421010048,3,15.3,58,18.5,
12/12/2013,-3.7,55.7,0,20.2,288.3,15.9,85.6,28,12/12/2013,421010048,3,16.1,59,15.3,
12/12/2013,-3.7,55.7,0,20.2,288.3,15.9,85.6,28,12/12/2013,421010048,5,12.6,52,16.1,
12/13/2013,-0.8,47.3,0,27.9,258.3,16,113,39.8,12/13/2013,421010048,3,12.7,52,12.6,
12/14/2013,-0.2,77.3,11.263,25.9,56.4,11.7,34.2,91.7,12/14/2013,421010048,3,18.1,64,12.7,
12/15/2013,2.2,73.4,6.037,29.3,286.4,14.1,106.7,80.3,12/15/2013,421010048,3,10.1,42,18.1,
12/16/2013,-1.6,45.5,0,25,290.6,16,106.1,40,12/16/2013,421010048,3,10.8,45,10.1,
12/17/2013,-1.7,72.8,1.521,14.7,32.6,12.2,41.9,90.4,12/17/2013,421010048,3,22.3,72,10.8,
12/18/2013,-0.5,61.9,0,28.4,284,15.3,103.9,30.7,12/18/2013,421010048,3,19.5,67,22.3,
12/18/2013,-0.5,61.9,0,28.4,284,15.3,103.9,30.7,12/18/2013,421010048,5,17.5,62,19.5,
12/19/2013,2.6,63.3,0,20.4,228.1,15.5,89.3,43.5,12/19/2013,421010048,3,20.3,68,17.5,
12/20/2013,7.3,63.4,0,18.5,220.6,16,63.5,68.3,12/20/2013,421010048,3,17.7,63,20.3,
12/21/2013,13.9,72.9,0.12,25.2,213.9,15.9,98.2,63.9,12/21/2013,421010048,3,11.1,46,17.7,
12/21/2013,13.9,72.9,0.12,25.2,213.9,15.9,98.2,63.9,12/21/2013,421010048,5,10,42,11.1,
12/22/2013,17.9,79.2,1.453,36.7,213.3,15.4,72.4,82.5,12/22/2013,421010048,3,2.3,10,10,
12/23/2013,13.5,81.3,11.973,24.3,290.7,12.8,20.7,97.4,12/23/2013,421010048,3,3.4,14,2.3,
12/24/2013,2.3,50.9,0.161,32.1,322.3,16,97.3,54,12/24/2013,421010048,3,6.1,25,3.4,
12/24/2013,2.3,50.9,0.161,32.1,322.3,16,97.3,54,12/24/2013,421010048,5,4.5,19,6.1,
12/25/2013,-2.8,44.1,0,23.5,336.5,16,112,33.5,12/25/2013,421010048,3,9.9,41,4.5,
12/26/2013,-0.3,64.9,0,23.4,260.6,15.8,96.8,42.6,12/26/2013,421010048,3,18.4,64,9.9,
12/27/2013,1.5,55.7,0,22.3,248,15.9,112.1,24,12/27/2013,421010048,3,19.2,66,18.4,
